weather _id,district_id,MaxT,MinT,WindSpeed,Humidity ,Precipitation
315,315,30.9,23.5,1.2,67.8,0
316,316,30.3,22.8,1.2,75.4,0
317,317,30.5,22.5,2,74.7,0
318,318,30.7,20.7,1.1,72.8,0
319,319,30.3,20.5,1.2,72.1,0
320,320,30.4,20.1,1.6,68.7,0
321,321,29.6,21.5,1.8,74,0
322,322,29.9,22.4,2.1,72,0
323,323,30.5,23.7,1.9,77.1,0
324,324,30.9,22.5,1.7,77.3,0
325,325,30.8,22.5,1.9,74,0
326,326,31,22.8,1.7,79.3,0
327,327,31.1,22.7,1.5,77,0
328,328,31.2,22.4,1.5,70.9,0
329,329,31.1,23,1.8,72.9,0
330,330,30.9,23.6,1.6,69,0
331,331,30.5,22.8,1.6,68.1,0
332,332,30.8,21.9,1.5,70.2,0
333,333,30.1,20.8,1.5,69.5,0
334,334,30.3,20.8,1.9,73,0
335,335,31.1,20,1.8,70.7,0
336,336,30.9,19.6,1.6,65.7,0
337,337,30.2,19.9,1.8,68.9,0
338,338,30.7,23,1.6,78.1,0
339,339,30.7,21.9,1.6,74.2,0
340,340,30.7,22.4,2,69.1,0
341,341,30.1,21.3,2.1,67.9,0
342,342,30.3,19.9,1.8,65.8,0
343,343,30.1,18.9,2.3,65.9,0
344,344,29.6,18,2,58.9,0
345,345,29.5,18.3,1.7,64.5,0
346,346,29.2,18.4,1.3,65.3,0
347,347,28.9,19.6,1.6,61.9,0
348,348,29.6,21.2,1.6,69.2,0
349,349,29.4,21.6,1.8,66.9,0
350,350,29.4,20,1.9,68.9,0
351,351,28.7,20,1.8,67.9,0
352,352,29.6,20.2,1.4,65.1,0
353,353,29.4,19.6,1.4,66.5,0
354,354,29.6,19.1,1.8,72.2,0
355,355,30.2,19.6,1.3,67.2,0
356,356,29.2,20.6,1.2,65.9,0
357,357,30.2,20.8,1.5,67.4,0
358,358,29.9,20.4,1.1,69.4,0
359,359,29.9,20.1,1.7,64.1,0
360,360,30.5,20,1.3,57.5,0
361,361,29.8,19,1.3,62.8,0
362,362,29.7,19.1,1.5,65.3,0
363,363,29.2,18.8,1.5,69.8,0
364,364,29.3,19.5,1.7,64.9,0
365,365,29.1,19.5,2,62.9,0
366,366,29,18.6,1.7,64.9,0
367,367,29.4,19.5,2.2,67.4,0
368,368,29.1,18.8,1.7,65,0
369,369,29.1,18.9,1.5,67.1,0
370,370,29.2,19.2,1.9,67.1,0
371,371,29.4,20,1.8,65.2,0
372,372,29.8,20.1,2,62.3,0
373,373,29.9,19.7,1.8,67.8,0
374,374,30.6,19.5,1.6,67.2,0
375,375,30.1,19.8,1.8,58.6,0
376,376,29.5,20.4,2.3,60.9,0
377,377,30.1,20.4,1.4,67.6,0
378,378,31.2,20.8,1.2,57,0
379,379,30.6,21,1.3,64.9,0
380,380,31.3,20.6,1.2,67.4,0
381,381,30.9,21,1.7,63.8,0
382,382,30.4,23,1.7,66.2,0
383,383,30.2,21.4,2,62.6,0
384,384,30.2,19.8,1.6,61.4,0
385,385,30.1,19.2,2.2,68.2,0
386,386,30.8,19.8,2.5,68,0
387,387,30.3,20.2,2.4,64.8,0
388,388,30.2,20,2.3,66.6,0
389,389,31.5,19.5,1.6,63.4,0
390,390,31,19.4,1.3,63.1,0
391,391,30.7,20.3,1.9,67,0
392,392,30.8,21,1.8,59.6,0
393,393,31.7,21.1,1.4,62.5,0
394,394,32,20.8,1.3,56.4,0
395,395,32.1,20.6,1.4,64.1,0
396,396,31.9,21.2,1.6,61.7,0
397,397,31.6,21.7,2,65,0
398,398,30.9,21.6,2.4,68.6,0
399,399,30.6,22.9,2.7,67.8,0
400,400,30.5,20.6,2.5,69.5,0
401,401,31,21.6,2.4,70.6,0
402,402,30.7,22.5,3,65.5,2.8
403,403,31.7,21.3,2,61.4,0
404,404,31.5,20.6,1.8,59.3,0
405,405,30.9,22.4,1.8,58.3,3.5
406,406,31.7,23,1.9,61.1,0
407,407,30.5,22.3,2.5,66.5,0
408,408,30.9,21.7,3.2,62.7,0
409,409,31,21.2,2.4,58.2,0
410,410,31,19.6,2.3,53.9,0
411,411,32,18.9,2.3,54.7,0
412,412,31.4,19.3,2.2,54.7,0
413,413,31.6,19.9,2.7,53.6,0
414,414,33,19.5,1.9,64.9,0
415,415,32.2,20.1,1.6,67.6,0
416,416,32.2,21.1,2.3,67.8,0
417,417,32,22,2.4,58,0
418,418,33,22,2.5,56.9,0
419,419,32.9,23,2.5,55.5,0
420,420,33.3,24.4,2.3,57.7,0
421,421,31.4,24.7,2.3,56.5,0
422,422,33.2,24.5,2.2,53.1,0
423,423,32.4,23.5,2.1,56.2,0
424,424,32.3,24.2,2.6,52.5,0
425,425,32.8,24.4,2.5,60.9,0
426,426,32.8,24.4,2.4,62.7,0
427,427,32.5,24.3,2.6,61.6,0
428,428,32.3,23.9,2.5,59.3,0
429,429,33.1,24,3.2,65.1,0
430,430,32.3,23.3,3.1,66.2,0
431,431,32.7,21.6,2.6,65.4,0
432,432,34.3,22.1,2.8,58.2,0
433,433,34.3,23.6,2,52.9,0
434,434,33.8,22.9,1.9,52.4,0
435,435,34.3,22.8,2.2,59.5,0
436,436,35.6,23.5,1.5,58.2,0
437,437,35.5,24,2.1,57.2,0
438,438,35.2,24.1,2,62.9,0
439,439,34.6,25.4,2.1,63.2,0
440,440,35.1,25.2,1.9,53.8,0
441,441,35,25.6,1.8,54.2,0
442,442,35.8,25.8,2.5,44.2,0
443,443,35.4,25.4,2.5,51,0
444,444,35.4,25.2,1.9,49.4,0
445,445,34.4,24.8,2.1,52,0
446,446,34.6,24.8,2.2,49.2,0
447,447,33.9,24.1,1.9,50.2,0
448,448,34.6,25.2,2.5,58.3,0
449,449,35.4,24.4,2,51.2,0
450,450,35.7,25.4,2.2,49.8,0
451,451,35.2,26.5,2,54.9,0
452,452,35.3,26.5,2.4,47.8,0
453,453,35.8,25.7,2.3,46.9,0
454,454,34.8,25.7,2.2,48.7,0
455,455,34.5,25.5,2.6,58,2.1
456,456,35.1,26,2.6,56.5,0
457,457,35.3,26.1,2.6,54.7,0
458,458,35.1,26.4,2.1,54.3,0
459,459,36,26.3,1.9,53.3,0
460,460,35.3,25.8,2,53.6,0
461,461,35.7,26.6,2.3,52.6,0
462,462,35,24.1,2.4,59.9,0
463,463,35.4,25.8,2.5,58.5,0
464,464,34.7,25.9,2.6,57.9,0
465,465,34.6,26.6,2,59.9,0
466,466,34.7,25.3,2.5,60,0
467,467,34.8,26.2,1.9,66.9,0
468,468,35.2,25.8,2,57.7,0
469,469,35.6,27.3,2.9,67.7,3.8
470,470,37.6,27.3,2.5,49.3,0
471,471,38.2,27.9,2.7,48.1,0
472,472,37.9,27.9,2.5,40.4,0
473,473,37.8,27.5,2.2,48.9,0
474,474,37,27.7,2.5,52.8,0
475,475,37.3,27.4,2.4,51.7,0
476,476,37.6,28.3,2,57.9,0
477,477,37.1,28.5,2.6,52.9,0
478,478,37.2,27.5,2.2,50.9,0
479,479,36.7,27.5,2.4,56.8,0
480,480,36.6,27.9,2.3,57.4,2.2
481,481,35.4,26,2.5,61.9,2.2
482,482,36,26.8,2.3,61.1,4.3
483,483,36.3,26.9,2.2,60.2,0
484,484,36.9,28,2.2,57,0
485,485,38,28.5,3.2,52.4,0
486,486,37.3,28.4,3.2,47.5,0
487,487,41.1,29.2,3.2,49.1,0
488,488,39.5,29.5,3.7,49.2,0
489,489,38.8,29.7,3.3,56.2,0
490,490,38,30,3.4,43.8,0
491,491,37.7,29.5,3.4,46.6,0
492,492,41.9,29.3,4.5,48.7,0
493,493,42.2,30.1,4.2,46,0
494,494,42.4,30.6,3.8,46.4,0
495,495,41.3,30.7,3.6,45.5,0
496,496,40.1,30.5,4,44.9,2.6
497,497,42.3,31,3.3,51.5,0
498,498,42.6,31.3,3.8,51.2,0
499,499,43.2,30.5,4,52.2,0
500,500,42.4,30.3,3.7,55.5,0
501,501,41,27.8,3.8,50.5,11.1
502,502,37.3,27,2.9,50.5,3.9
503,503,38.8,28.8,3.3,51.4,2.3
504,504,39.8,30,3.3,53.4,2.9
505,505,38.6,29.2,3.2,49.9,2.9
506,506,39.4,28.8,3.8,45.9,0
507,507,37.6,28.8,3.3,51.5,0
508,508,38.2,29,2.6,52.2,0
509,509,38.3,29.6,2.3,51.5,0
510,510,37.8,28.7,2.6,48.5,0
511,511,38.5,29.6,3.1,56.8,0
512,512,38.6,30.5,2.8,54.8,4.2
513,513,40.4,29.2,3.6,48.3,0
514,514,33.9,28.4,3.4,50.7,14.9
515,515,39.7,28.3,3,57.3,5.2
516,516,33.6,26.7,4.2,69.4,12
517,517,35.7,27,2.9,65,0
518,518,37.8,28.8,3.4,63.5,6
519,519,38.9,27,4.1,61.2,12
520,520,35.8,27.3,3.2,58.7,0
521,521,37.9,29.2,2.8,57.3,0
522,522,35.8,28.9,2.3,65.5,0
523,523,34.6,28.7,2,70.7,12.6
524,524,34.8,28.7,2.2,72.7,0
525,525,36,28.8,3,69.4,0
526,526,37,27.9,3.6,67.4,0
527,527,38.5,28.8,3.7,68.8,5.2
528,528,36,27.3,3.3,65.6,11.4
529,529,34,28.7,2.7,77.1,11.4
530,530,31.9,26.9,3.4,77.9,35
531,531,29.2,26.2,4.3,67.9,7.8
532,532,30.3,26.7,4.3,69.4,38.7
533,533,32,26.6,3.4,74.7,15.5
534,534,33,27,4.2,82.6,23.4
535,535,29.3,25.6,3.8,74.7,10.9
536,536,27.7,25.3,4.4,76.8,38
537,537,28.2,25.5,4.5,81.5,43.4
538,538,28.4,25.1,4.7,76.8,27.1
539,539,31,26.9,4.6,74.9,5.4
540,540,33.6,27.5,4.4,67.5,0
541,541,34.2,28,4.6,73.4,0
542,542,35,28,4.9,59.3,0
543,543,35.5,28.3,5,57.7,0
544,544,35.6,27.7,4.9,62.9,0
545,545,34.7,29.1,4.8,59.1,0
546,546,33.3,27.3,5.7,76.2,18.2
547,547,35,27.2,5.1,68.3,0
548,548,34.7,26.6,4,74.4,9
549,549,34.2,26.7,3.7,71.9,13.7
550,550,34.3,27.2,3.6,78.3,11.5
551,551,33.2,26.2,3.9,79.3,11.5
552,552,31.4,26.2,4.4,76.2,0
553,553,32.2,26.6,4.1,79.7,9.9
554,554,32.3,26.3,3.8,69.2,34.4
555,555,32.3,26.2,3.3,81.8,20.9
556,556,33.6,26.9,3.2,80,0
557,557,35.1,27.7,3,72.3,0
558,558,35.6,28.1,2.8,73.9,14.6
559,559,33.6,27.8,2.5,76.5,14.6
560,560,33.1,25.7,2.3,75.6,6.1
561,561,33.9,26.8,2.8,82.9,3.8
562,562,32.3,26.2,1.9,78.3,6.5
563,563,33.3,26.8,2.2,78.7,10.2
564,564,33,27,2.4,76.5,6.5
565,565,33.4,27.2,1.7,77.4,21.1
566,566,33.8,27.5,2.2,71.1,24.1
567,567,32.1,27.1,2.4,82.7,37.7
568,568,33.8,26.2,2.2,86,24.1
569,569,33.1,26.1,1.7,83.4,21.1
570,570,33.2,27.2,1.6,87,0
571,571,34,25.9,2.5,81.2,9.7
572,572,31.4,26.1,2.8,79.5,11.2
573,573,29,25.8,3.1,81.2,12.6
574,574,30,25.7,3.5,80.4,2.9
575,575,30.7,25.9,3.7,80.8,8.2
576,576,29.1,26.1,4.9,80,21.7
577,577,31.6,25.9,5.4,73.1,0
578,578,33.3,27,4.5,73.1,3.1
579,579,34.1,27,3.7,71.2,0
580,580,34.1,27.9,3.7,66.7,4.6
581,581,31.1,27.4,4.6,75.2,9.2
582,582,31.3,25.8,3.7,80.9,18.2
583,583,31.6,26.2,3.9,81.2,6.5
584,584,34.7,27.1,4.2,73.1,0
585,585,34.9,27.7,3,71.8,0
586,586,34.6,27.5,3.1,75.7,5.1
587,587,34.3,26.8,2.8,72.5,10.3
588,588,31.2,26.3,3.6,81.3,5.1
589,589,34.2,26,3.2,79.4,0
590,590,35.3,26.5,3,79.2,0
591,591,33.6,26.9,2.9,78.3,6.1
592,592,32.3,26,2.5,78.9,6.8
593,593,34.2,26.4,2.7,76.1,13.6
594,594,32.3,25.3,2.2,78.7,13.6
595,595,32.9,26.3,1.9,80.5,6.8
596,596,33.6,26.9,1.6,78,0
597,597,32,26.2,1.7,79.2,8.3
598,598,33.2,26.6,2.7,78.6,8.3
599,599,30.7,25.5,1.7,85,19.1
600,600,32.3,25.6,2.3,85.3,9.6
601,601,30.6,25.3,3,83.7,9.6
